id,group_commit,fix_date,sub_instance,component,layer,probe,failure_value,negative_value,reported_as,user_visible,reached_certificate,intro_commit,intro_date,latency_days,found_by,test_existed,why_test_missed
1,b36e3ab,2026-09-23,1,hidden-drive scan,station-capture,list /sys/bus/pci/devices,empty list,empty list,"No hidden drives",yes,no,9cfb422,2026-09-19,4,sweep,yes,fixture supplied a readable sysfs
2,3092fd5,2026-09-22,1,lock_status roll-up,station-locks,read LOCK_ROWS,empty string,empty string,"No lock detected",yes,yes,a61f70b,2026-09-02,20,sweep,yes,no fixture with zero rows
3,3092fd5,2026-09-22,2,run_lock_checks,station-locks,detector files a row,no row,no row,check silently absent,yes,yes,a61f70b,2026-09-02,20,sweep,yes,fixtures always filed a row
4,3092fd5,2026-09-22,3,lock_mount_windows,station-locks,mount NTFS volume,mount fails,no volume found,"No readable Windows installation found",yes,no,a61f70b,2026-09-02,20,sweep,no,no hibernated-volume fixture
5,5bc49d4,2026-09-21,1,trackpad summary,api-format,gesture booleans,field absent,false,"Movement and buttons work",yes,no,294c3e6,2026-09-20,1,sweep,yes,fixture always set all four
6,66d72bc,2026-09-21,1,wipe limitations,api-ingest,parse limitations array,entries filtered out,empty array,"Limitations: None reported",yes,yes,5c0f1a8,2026-09-19,2,sweep,yes,fixture sent well-formed strings
7,5ab21f1,2026-09-21,1,OS disk verdict,station-capture,read filesystems,no fs identified,no fs present,"No operating system installed",yes,no,67cbbc7,2026-09-20,1,sweep,yes,no locked-SED fixture
8,5ab21f1,2026-09-21,2,TPM detection,station-capture,read /sys/class/tpm,device absent,no TPM fitted,"No TPM detected",yes,no,6903bb0,2026-07-13,70,sweep,no,no fixture at all
9,5ab21f1,2026-09-21,3,device type,station-capture,battery health percent,unreadable,no battery,recorded as Desktop,yes,no,6903bb0,2026-07-13,70,sweep,no,no fixture at all
10,5ab21f1,2026-09-21,4,optical drive,station-kiosk,lsblk TYPE rom,command fails,no rom device,"Not present" (and cached),yes,no,582e32f,2026-07-26,57,sweep,no,no fixture at all
11,5ab21f1,2026-09-21,5,system clock check,station-kiosk,fetch reference time,fetch fails,clock is correct,green tick,yes,no,af1a63e,2026-07-27,56,sweep,no,no fixture at all
12,5ab21f1,2026-09-21,6,hardware panel,station-kiosk,any profile field,field empty,component absent,"Not detected",yes,no,582e32f,2026-07-26,57,sweep,no,no fixture at all
13,5ab21f1,2026-09-21,7,namespace coverage,station-engine,enumerate NVMe namespaces,computed then discarded,full coverage,no limitation on certificate,yes,yes,19f1519,2026-07-15,68,sweep,yes,fixture had one namespace
